Thread ID: -609414948
Total: 55340232210.356468

 %self     total     self     wait    child    calls  name
  0.00      0.02     0.02     0.00     0.00    10141  Float#to_s
  0.00      0.02     0.02     0.00     0.00    25537  Integer#to_i
  0.00      0.02     0.02     0.00     0.00    19188  Bignum#coerce
  0.00      0.01     0.01     0.00     0.00    19188  Bignum#<=>
  0.00      0.01     0.01     0.00     0.00    19188  Bignum#fdiv
  0.00      0.01     0.01     0.00     0.00    19188  Float#abs
  0.00      0.01     0.01     0.00     0.00    14088  Array#initialize_copy
  0.00      0.01     0.01     0.00     0.00    19991  Kernel#==
  0.00      0.01     0.01     0.00     0.00    19138  Float#<=>
  0.00      0.01     0.01     0.00     0.00    15348  <Class::Array>#allocate
  0.00      0.01     0.01     0.00     0.00     7541  Array#concat
  0.00      0.01     0.01     0.00     0.00    14272  Array#empty?
  0.00      0.08     0.01     0.00     0.07        1  Filter#box_car_filter
  0.00      0.01     0.01     0.00     0.00      190  Module#define_method
  0.00      0.01     0.01     0.00     0.00     8337  IO#write
  0.00      0.01     0.01     0.00     0.00       12  Array#join
  0.00      5.23     0.01     0.00     5.23      684  PCA#mean
  0.00      0.01     0.01     0.00     0.00    12078  Float#<
  0.00      0.01     0.01     0.00     0.00     2256  Array#flatten
  0.00      0.01     0.01     0.00     0.00     9601  Fixnum#<=
  0.00  18446744072.59     0.01     0.00 36893488146.29      324  PCA#covariance
  0.00      0.01     0.01     0.00     0.00     6816  Array#first
  0.00      0.01     0.01     0.00     0.00     6711  NilClass#nil?
  0.00      0.04     0.01     0.00     0.03     2268  Segment#learn
  0.00      0.00     0.00     0.00     0.00     1776  String#+
  0.00      0.01     0.00     0.00     0.01      114  Logger#message
  0.00      0.00     0.00     0.00     0.00      648  GSL::Matrix#column
  0.00      0.00     0.00     0.00     0.00      142  Array#zip
  0.00      0.00     0.00     0.00     0.00      113  Logger#colorize
  0.00      0.00     0.00     0.00     0.00     2499  Kernel#singleton_method_added
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#ztran
  0.00      0.00     0.00     0.00     0.00     1744  <Object::Segment>#xtran
