index, x, y
1, 0.0175077660412616, -2.04007258752937
2, 0.0162982231567608, -2.03618927265555
3, 0.0165453483036324, -2.03183601062036
4, 0.0163365140565585, -2.02918620342168
5, 0.0154865308702917, -2.02995236222749
6, 0.0155299312957794, -2.0337622469369
7, 0.0162680601735428, -2.03865016478552
8, 0.0168817522376333, -2.04202034538519
9, 0.0173566893649585, -2.04421559516727
10, 0.0181563146754745, -2.0472372317315
11, 0.0193661361952817, -2.05126078420423
12, 0.0197770393653116, -2.05154409876526
13, 0.0191450481632706, -2.0495832863843
14, 0.0184214308360142, -2.05011811712577
15, 0.0177134829222443, -2.05266320908292
16, 0.0179983643973381, -2.05599129935406
17, 0.0178959143175637, -2.05664746750276
18, 0.0176430332267765, -2.05752478349412
19, 0.0173521852229541, -2.0560819907444
20, 0.017584485303471, -2.05726946310717
21, 0.0173109063768611, -2.0592979881543
22, 0.0174168767552398, -2.05707662961626
23, 0.0181143519955045, -2.05434156583782
24, 0.0181511345320117, -2.05643326816104
25, 0.0184081803215292, -2.05912521764064
26, 0.0192530078186892, -2.0645730090259
27, 0.0200912439646298, -2.07377458033252
28, 0.020972577883975, -2.07982620571125
29, 0.0220294799240104, -2.0813764571718
30, 0.0232479836156358, -2.08326577750808
31, 0.024485758265445, -2.08806531700902
32, 0.024958199157089, -2.09083534517287
33, 0.0257469634438256, -2.09091661015306
34, 0.0269430902715778, -2.09095509118049
35, 0.0282317070664928, -2.09244822248788
36, 0.0295596282197951, -2.09517306302016
37, 0.0313830479549138, -2.09984166241848
38, 0.032671340631211, -2.10204421544497
39, 0.0341213068129859, -2.10517070065868
40, 0.0364689795909719, -2.10853876993523
41, 0.0386952729755309, -2.11129621314634
42, 0.0413056437734255, -2.11230491720274
43, 0.0429724151716092, -2.11162746497139
44, 0.0447797807391151, -2.11190046134014
45, 0.0469913981901359, -2.11372541322317
46, 0.0487964017580684, -2.11851587642563
47, 0.0493890053657798, -2.12212179029521
48, 0.0498275733227543, -2.12176303002984
49, 0.0528780449976115, -2.12270656280162
50, 0.0568523778150173, -2.12770746471283
51, 0.0601805129657499, -2.13306613968068
52, 0.0627532240698125, -2.13650524358496
53, 0.0643090403063802, -2.1385523543944
54, 0.0644270334221745, -2.13971631744114
55, 0.0679162674814339, -2.14978291775622
56, 0.0704999618362185, -2.15644871565239
57, 0.0717791362363122, -2.15635868422238
58, 0.0713281227389546, -2.14513594554484
59, 0.0760806282282745, -2.15067955537042
60, 0.0802444565037922, -2.15805318522266
61, 0.0832018042174041, -2.15750110609859
62, 0.0865587912961809, -2.15036130168595
63, 0.0914782755005815, -2.14943336765314
64, 0.0967894142835455, -2.15345993524649
65, 0.100473328687448, -2.15349572079626
66, 0.103634924259355, -2.14971261205969
67, 0.109684761819164, -2.1497109131666
68, 0.115051807685517, -2.14320464135273
69, 0.118721505424146, -2.13448117937471
70, 0.12284043938403, -2.12648618533463
71, 0.127746520588952, -2.11547728513427
72, 0.131734873034443, -2.10236337943169
73, 0.135922464371184, -2.0900435657186
74, 0.139441871531884, -2.07517853555717
75, 0.140984113535927, -2.05154817659861
76, 0.142780168065319, -2.0271808629178
77, 0.146465760034283, -2.00493385765588
78, 0.149523232865955, -1.97730214620331
79, 0.150208801795359, -1.94671635528441
80, 0.15040153429624, -1.91527939496821
81, 0.150640458156116, -1.88091564190877
82, 0.151600780137394, -1.8489437492467
83, 0.153388047038947, -1.81853721898733
84, 0.15588214546621, -1.78575048435367
85, 0.156622196991048, -1.74538102595579
86, 0.156874004800556, -1.70435996983611
87, 0.156795514211099, -1.66532188070997
88, 0.156283071654534, -1.62897226546391
89, 0.156135089318146, -1.59216867310265
90, 0.155694843785963, -1.55263255456799
91, 0.155174558074733, -1.51056953065428
92, 0.15683722134345, -1.46293636605895
93, 0.157092625395779, -1.42221079518122
94, 0.157330841351374, -1.38018759784757
95, 0.157269790582161, -1.33998109727209
96, 0.157133072080321, -1.29985085596597
97, 0.158704916723311, -1.25900410506951
98, 0.16091767425218, -1.21826389263525
99, 0.162621431255587, -1.17815501320523
100, 0.164482481879487, -1.13712485849024
